,3264-NUSVR--nu=0.05-C=0.1,3264-NUSVR--nu=0.1-C=0.1,3264-NUSVR--nu=0.15-C=0.1,3264-NUSVR--nu=0.25-C=0.1,3264-NUSVR--nu=0.5-C=0.1,3264-NUSVR--nu=0.75-C=0.1,3264-NUSVR--nu=0.05-C=0.5,3264-NUSVR--nu=0.1-C=0.5,3264-NUSVR--nu=0.15-C=0.5,3264-NUSVR--nu=0.25-C=0.5,3264-NUSVR--nu=0.5-C=0.5,3264-NUSVR--nu=0.75-C=0.5,3264-NUSVR--nu=0.05-C=0.75,3264-NUSVR--nu=0.1-C=0.75,3264-NUSVR--nu=0.15-C=0.75,3264-NUSVR--nu=0.25-C=0.75,3264-NUSVR--nu=0.5-C=0.75,3264-NUSVR--nu=0.75-C=0.75,3264-NUSVR--nu=0.05-C=1,3264-NUSVR--nu=0.1-C=1,3264-NUSVR--nu=0.15-C=1,3264-NUSVR--nu=0.25-C=1,3264-NUSVR--nu=0.5-C=1,3264-NUSVR--nu=0.75-C=1,3264-NUSVR--nu=0.05-C=10,3264-NUSVR--nu=0.1-C=10,3264-NUSVR--nu=0.15-C=10,3264-NUSVR--nu=0.25-C=10,3264-NUSVR--nu=0.5-C=10,3264-NUSVR--nu=0.75-C=10
5587,,,,,ZNF106,PREX2,,,,,ZNF134,PRIM2,,,,,ZNF134,PRELID3B,,,,,ZNF134,PREX1,,,,,ZNF146,PRH2
5588,,,,,ZNF12,PRF1,,,,,ZNF138,PRIMPOL,,,,,ZNF138,PREP,,,,,ZNF138,PREX2,,,,,ZNF169,PRICKLE2
5589,,,,,ZNF124,PRH2,,,,,ZNF141,PRKAA1,,,,,ZNF141,PREX1,,,,,ZNF141,PRF1,,,,,ZNF181,PRIM2
5590,,,,,ZNF131,PRICKLE2,,,,,ZNF142,PRKAB1,,,,,ZNF142,PREX2,,,,,ZNF142,PRH2,,,,,ZNF185,PRIMPOL
5591,,,,,ZNF134,PRIM2,,,,,ZNF146,PRKAB2,,,,,ZNF146,PRF1,,,,,ZNF146,PRICKLE2,,,,,ZNF195,PRKAA1
5592,,,,,ZNF138,PRIMPOL,,,,,ZNF169,PRKACA,,,,,ZNF169,PRH2,,,,,ZNF169,PRIM2,,,,,ZNF213,PRKAB1
5593,,,,,ZNF141,PRKAA1,,,,,ZNF181,PRKACB,,,,,ZNF181,PRICKLE2,,,,,ZNF181,PRIMPOL,,,,,ZNF217,PRKAB2
5594,,,,,ZNF142,PRKAB1,,,,,ZNF185,PRKAG2,,,,,ZNF185,PRIM2,,,,,ZNF185,PRKAA1,,,,,ZNF219,PRKACA
5595,,,,,ZNF146,PRKAB2,,,,,ZNF195,PRKAR1B,,,,,ZNF195,PRIMPOL,,,,,ZNF195,PRKAB1,,,,,ZNF22,PRKACB
5596,,,,,ZNF169,PRKACA,,,,,ZNF213,PRKAR2B,,,,,ZNF213,PRKAA1,,,,,ZNF213,PRKAB2,,,,,ZNF224,PRKAG2
5597,,,,,ZNF181,PRKACB,,,,,ZNF217,PRKCB,,,,,ZNF217,PRKAB1,,,,,ZNF217,PRKACA,,,,,ZNF235,PRKAR1B
5598,,,,,ZNF185,PRKAG2,,,,,ZNF219,PRKCD,,,,,ZNF219,PRKAB2,,,,,ZNF219,PRKACB,,,,,ZNF236,PRKAR2B
5599,,,,,ZNF195,PRKAR1B,,,,,ZNF22,PRKCH,,,,,ZNF22,PRKACA,,,,,ZNF22,PRKAG2,,,,,ZNF26,PRKCB
5600,,,,,ZNF213,PRKAR2B,,,,,ZNF224,PRKCQ,,,,,ZNF224,PRKACB,,,,,ZNF224,PRKAR1B,,,,,ZNF264,PRKCD
5601,,,,,ZNF217,PRKCB,,,,,ZNF235,PRKD2,,,,,ZNF235,PRKAG2,,,,,ZNF235,PRKAR2B,,,,,ZNF267,PRKCH
5602,,,,,ZNF219,PRKCD,,,,,ZNF236,PRKD3,,,,,ZNF236,PRKAR1B,,,,,ZNF236,PRKCB,,,,,ZNF271P,PRKCQ
5603,,,,,ZNF22,PRKCH,,,,,ZNF26,PRKG1,,,,,ZNF26,PRKAR2B,,,,,ZNF26,PRKCD,,,,,ZNF273,PRKD2
5604,,,,,ZNF224,PRKCQ,,,,,ZNF264,PRKX,,,,,ZNF264,PRKCB,,,,,ZNF264,PRKCH,,,,,ZNF275,PRKD3
5605,,,,,ZNF235,PRKD2,,,,,ZNF267,PRLR,,,,,ZNF267,PRKCD,,,,,ZNF267,PRKCQ,,,,,ZNF276,PRKG1
5606,,,,,ZNF236,PRKD3,,,,,ZNF271P,PRMT1,,,,,ZNF271P,PRKCH,,,,,ZNF271P,PRKD2,,,,,ZNF277,PRKX
5607,,,,,ZNF26,PRKG1,,,,,ZNF273,PRMT2,,,,,ZNF273,PRKCQ,,,,,ZNF273,PRKD3,,,,,ZNF280B,PRLR
5608,,,,,ZNF264,PRKX,,,,,ZNF275,PRMT5,,,,,ZNF275,PRKD2,,,,,ZNF275,PRKG1,,,,,ZNF281,PRMT1
5609,,,,,ZNF267,PRLR,,,,,ZNF276,PRMT6,,,,,ZNF276,PRKD3,,,,,ZNF276,PRKX,,,,,ZNF3,PRMT2
5610,,,,,ZNF271P,PRMT1,,,,,ZNF277,PRMT8,,,,,ZNF277,PRKG1,,,,,ZNF277,PRLR,,,,,ZNF300,PRMT5
5611,,,,,ZNF273,PRMT2,,,,,ZNF280B,PRMT9,,,,,ZNF280B,PRKX,,,,,ZNF280B,PRMT1,,,,,ZNF317,PRMT6
5612,,,,,ZNF275,PRMT5,,,,,ZNF281,PRNP,,,,,ZNF281,PRLR,,,,,ZNF281,PRMT2,,,,,ZNF318,PRMT8
5613,,,,,ZNF276,PRMT6,,,,,ZNF3,PROB1,,,,,ZNF3,PRMT1,,,,,ZNF3,PRMT5,,,,,ZNF319,PRMT9
5614,,,,,ZNF277,PRMT8,,,,,ZNF300,PROCA1,,,,,ZNF300,PRMT2,,,,,ZNF300,PRMT6,,,,,ZNF322,PRNP
5615,,,,,ZNF280B,PRMT9,,,,,ZNF317,PROCR,,,,,ZNF317,PRMT5,,,,,ZNF317,PRMT8,,,,,ZNF330,PROB1
5616,,,,,ZNF281,PRNP,,,,,ZNF318,PROK2,,,,,ZNF318,PRMT6,,,,,ZNF318,PRMT9,,,,,ZNF33A,PROCA1
5617,,,,,ZNF3,PROB1,,,,,ZNF319,PROM2,,,,,ZNF319,PRMT8,,,,,ZNF319,PRNP,,,,,ZNF354B,PROCR
5618,,,,,ZNF300,PROCA1,,,,,ZNF322,PROSER1,,,,,ZNF322,PRMT9,,,,,ZNF322,PROB1,,,,,ZNF354C,PROK2
5619,,,,,ZNF317,PROCR,,,,,ZNF330,PROSER2,,,,,ZNF330,PRNP,,,,,ZNF330,PROCA1,,,,,ZNF362,PROM2
5620,,,,,ZNF318,PROK2,,,,,ZNF33A,PROSER3,,,,,ZNF33A,PROB1,,,,,ZNF33A,PROCR,,,,,ZNF366,PROSER1
5621,,,,,ZNF319,PROM2,,,,,ZNF354B,PRPF18,,,,,ZNF354B,PROCA1,,,,,ZNF354B,PROK2,,,,,ZNF367,PROSER2
5622,,,,,ZNF322,PROSER1,,,,,ZNF354C,PRPF19,,,,,ZNF354C,PROCR,,,,,ZNF354C,PROM2,,,,,ZNF37A,PROSER3
5623,,,,,ZNF330,PROSER2,,,,,ZNF358,PRPF3,,,,,ZNF358,PROK2,,,,,ZNF358,PROSER1,,,,,ZNF37BP,PRPF18
5624,,,,,ZNF33A,PROSER3,,,,,ZNF362,PRPF38A,,,,,ZNF362,PROM2,,,,,ZNF362,PROSER2,,,,,ZNF384,PRPF19
5625,,,,,ZNF354B,PRPF18,,,,,ZNF366,PRPF39,,,,,ZNF366,PROSER1,,,,,ZNF366,PROSER3,,,,,ZNF385A,PRPF3
5626,,,,,ZNF354C,PRPF19,,,,,ZNF367,PRPF40B,,,,,ZNF367,PROSER2,,,,,ZNF367,PRPF18,,,,,ZNF385D,PRPF38A
5627,,,,,ZNF358,PRPF3,,,,,ZNF37A,PRPS1,,,,,ZNF37A,PROSER3,,,,,ZNF37A,PRPF19,,,,,ZNF394,PRPF39
5628,,,,,ZNF362,PRPF38A,,,,,ZNF37BP,PRPS2,,,,,ZNF37BP,PRPF18,,,,,ZNF37BP,PRPF3,,,,,ZNF397,PRPF40B
5629,,,,,ZNF366,PRPF39,,,,,ZNF384,PRPSAP2,,,,,ZNF384,PRPF19,,,,,ZNF384,PRPF38A,,,,,ZNF410,PRPS1
5630,,,,,ZNF367,PRPF40B,,,,,ZNF385A,PRR12,,,,,ZNF385A,PRPF3,,,,,ZNF385A,PRPF39,,,,,ZNF429,PRPS2
5631,,,,,ZNF37A,PRPS1,,,,,ZNF385D,PRR13,,,,,ZNF385D,PRPF38A,,,,,ZNF385D,PRPF40B,,,,,ZNF43,PRPSAP2
5632,,,,,ZNF37BP,PRPS2,,,,,ZNF394,PRR14,,,,,ZNF394,PRPF39,,,,,ZNF394,PRPS1,,,,,ZNF431,PRR12
5633,,,,,ZNF384,PRPSAP2,,,,,ZNF397,PRR14L,,,,,ZNF397,PRPF40B,,,,,ZNF397,PRPS2,,,,,ZNF445,PRR13
5634,,,,,ZNF385A,PRR12,,,,,ZNF410,PRR18,,,,,ZNF410,PRPS1,,,,,ZNF410,PRPSAP2,,,,,ZNF446,PRR14
5635,,,,,ZNF385D,PRR13,,,,,ZNF429,PRR5,,,,,ZNF429,PRPS2,,,,,ZNF429,PRR12,,,,,ZNF462,PRR14L
5636,,,,,ZNF394,PRR14,,,,,ZNF43,PRR5L,,,,,ZNF43,PRPSAP2,,,,,ZNF43,PRR13,,,,,ZNF485,PRR18
5637,,,,,ZNF397,PRR14L,,,,,ZNF431,PRR7,,,,,ZNF431,PRR12,,,,,ZNF431,PRR14,,,,,ZNF493,PRR5
