,1850-NUSVR--nu=0.05-C=0.1,1850-NUSVR--nu=0.1-C=0.1,1850-NUSVR--nu=0.15-C=0.1,1850-NUSVR--nu=0.25-C=0.1,1850-NUSVR--nu=0.5-C=0.1,1850-NUSVR--nu=0.75-C=0.1,1850-NUSVR--nu=0.05-C=0.5,1850-NUSVR--nu=0.1-C=0.5,1850-NUSVR--nu=0.15-C=0.5,1850-NUSVR--nu=0.25-C=0.5,1850-NUSVR--nu=0.5-C=0.5,1850-NUSVR--nu=0.75-C=0.5,1850-NUSVR--nu=0.05-C=0.75,1850-NUSVR--nu=0.1-C=0.75,1850-NUSVR--nu=0.15-C=0.75,1850-NUSVR--nu=0.25-C=0.75,1850-NUSVR--nu=0.5-C=0.75,1850-NUSVR--nu=0.75-C=0.75,1850-NUSVR--nu=0.05-C=1,1850-NUSVR--nu=0.1-C=1,1850-NUSVR--nu=0.15-C=1,1850-NUSVR--nu=0.25-C=1,1850-NUSVR--nu=0.5-C=1,1850-NUSVR--nu=0.75-C=1,1850-NUSVR--nu=0.05-C=10,1850-NUSVR--nu=0.1-C=10,1850-NUSVR--nu=0.15-C=10,1850-NUSVR--nu=0.25-C=10,1850-NUSVR--nu=0.5-C=10,1850-NUSVR--nu=0.75-C=10
1644,,,VNN2,NR1D1,FBXW4,CST3,,,VOPP1,NPTN,FBXW4,CST3,,,WARS,NR1H2,FCER1G,CST7,,,VOPP1,NR2C2,FCER1G,CST3,,,VNN2,NR1H2,FBXW7,CST3
1645,,,VOPP1,NR1H2,FBXW5,CST7,,,WARS,NR1D1,FBXW5,CST7,,,WAS,NR2C2,FCGR1A,CSTA,,,WARS,NR2F2,FCGR1A,CST7,,,VOPP1,NR2C2,FCER1G,CST7
1646,,,WARS,NR2C2,FBXW7,CSTA,,,WAS,NR1H2,FBXW7,CSTA,,,WASF1,NR2F2,FCGR1B,CSTF2,,,WAS,NRBF2,FCGR1B,CSTA,,,WARS,NR2F2,FCGR1A,CSTA
1647,,,WAS,NR2F2,FCER1G,CSTF2,,,WASF1,NR2C2,FCER1G,CSTF2,,,WASH3P,NRBF2,FCGR2A,CSTF2T,,,WASF1,NRDC,FCGR2A,CSTF2,,,WAS,NRBF2,FCGR1B,CSTF2
1648,,,WASF1,NRBF2,FCGR1A,CSTF2T,,,WASH3P,NR2F2,FCGR1A,CSTF2T,,,WBP2,NRDC,FCGR2B,CTBP2,,,WASH3P,NRDE2,FCGR2B,CSTF2T,,,WASF1,NRDC,FCGR2A,CSTF2T
1649,,,WASH3P,NRDC,FCGR1B,CTBP2,,,WBP2,NRBF2,FCGR1B,CTBP2,,,WDFY4,NRDE2,FCGR2C,CTBS,,,WBP2,NRGN,FCGR2C,CTBP2,,,WASH3P,NRDE2,FCGR2B,CTBP2
1650,,,WBP2,NRDE2,FCGR2A,CTBS,,,WDFY4,NRDC,FCGR2A,CTBS,,,WDR1,NRGN,FCGR3B,CTC1,,,WDFY4,NRP2,FCGR3B,CTBS,,,WBP2,NRGN,FCGR2C,CTBS
1651,,,WDFY4,NRGN,FCGR2B,CTC1,,,WDR1,NRDE2,FCGR2B,CTC1,,,WDR26,NRP2,FCGRT,CTDNEP1,,,WDR1,NRXN1,FCGRT,CTC1,,,WDFY4,NRP2,FCGR3B,CTC1
1652,,,WDR1,NRP2,FCGR2C,CTDNEP1,,,WDR26,NRGN,FCGR2C,CTDNEP1,,,WDR53,NRXN1,FCHO1,CTDP1,,,WDR26,NSUN5P1,FCHO1,CTDNEP1,,,WDR1,NRXN1,FCGRT,CTDNEP1
1653,,,WDR26,NRXN1,FCGR3B,CTDP1,,,WDR53,NRP2,FCGR3B,CTDP1,,,WDR81,NSUN5P1,FCHO2,CTDSPL2,,,WDR53,NSUN6,FCHO2,CTDP1,,,WDR26,NSUN5P1,FCHO1,CTDP1
1654,,,WDR53,NSUN5P1,FCGRT,CTDSPL2,,,WDR81,NRXN1,FCGRT,CTDSPL2,,,WDTC1,NSUN6,FCHSD2,CTF1,,,WDR81,NSUN7,FCHSD2,CTDSPL2,,,WDR53,NSUN6,FCHO2,CTDSPL2
1655,,,WDR81,NSUN6,FCHO1,CTF1,,,WDTC1,NSUN5P1,FCHO1,CTF1,,,WFDC2,NSUN7,FCMR,CTH,,,WDTC1,NT5C3A,FCMR,CTF1,,,WDR81,NSUN7,FCHSD2,CTF1
1656,,,WDTC1,NSUN7,FCHO2,CTH,,,WFDC2,NSUN6,FCHO2,CTH,,,WHAMM,NT5C3A,FCRL2,CTHRC1,,,WFDC2,NT5DC1,FCRL2,CTH,,,WDTC1,NT5C3A,FCMR,CTH
1657,,,WFDC2,NT5C3A,FCHSD2,CTHRC1,,,WHAMM,NSUN7,FCHSD2,CTHRC1,,,WHAMMP2,NT5DC1,FCRL6,CTNNA1,,,WHAMM,NT5M,FCRL6,CTHRC1,,,WFDC2,NT5DC1,FCRL2,CTHRC1
1658,,,WHAMM,NT5DC1,FCMR,CTNNA1,,,WHAMMP2,NT5C3A,FCMR,CTNNA1,,,WHAMMP3,NT5M,FCRLA,CTNNAL1,,,WHAMMP2,NTAN1,FCRLA,CTNNA1,,,WHAMM,NT5M,FCRL6,CTNNA1
